school_id,school_name,state,district,enrollment,reading_pct_std3,arithmetic_pct_std3,girls_dropout_risk_pct,has_library,has_computer,years_flagged_no_improvement,intervention_recorded,library_used,computer_used
S0001,"Govt Primary School, Gorakhpur Block 1",Uttar Pradesh,Gorakhpur,90,27.0,27.0,14.7,True,False,0,True,False,False
S0002,"Govt Upper Primary School, Bahraich Block 2",Uttar Pradesh,Bahraich,55,32.1,32.1,15.3,True,True,2,False,True,True
S0003,"Govt Higher Secondary School, Sitapur Block 3",Uttar Pradesh,Sitapur,75,22.2,31.2,14.1,True,True,0,True,False,True
S0004,"Govt Primary School, Hardoi Block 4",Uttar Pradesh,Hardoi,68,39.8,33.2,14.4,True,True,2,False,True,True
S0005,"Govt Upper Primary School, Kushinagar Block 5",Uttar Pradesh,Kushinagar,105,27.0,20.6,17.4,True,False,3,False,False,False
S0006,"Govt Higher Secondary School, Balrampur Block 6",Uttar Pradesh,Balrampur,42,26.9,28.8,15.9,True,False,3,False,True,False
S0007,"Govt Primary School, Shrawasti Block 7",Uttar Pradesh,Shrawasti,140,23.1,32.5,15.8,True,False,4,False,False,False
S0008,"Govt Upper Primary School, Basti Block 8",Uttar Pradesh,Basti,75,24.8,25.2,14.0,True,True,0,False,False,True
S0009,"Govt Higher Secondary School, Siddharthnagar Block 9",Uttar Pradesh,Siddharthnagar,68,26.3,24.1,13.1,True,False,1,True,True,False
S0010,"Govt Primary School, Azamgarh Block 10",Uttar Pradesh,Azamgarh,82,37.1,34.6,13.3,True,True,1,False,False,True
S0011,"Govt Upper Primary School, Gorakhpur Block 11",Uttar Pradesh,Gorakhpur,105,23.3,29.2,15.1,True,True,1,True,False,True
S0012,"Govt Higher Secondary School, Bahraich Block 12",Uttar Pradesh,Bahraich,42,35.6,35.2,15.0,True,True,0,True,True,True
S0013,"Govt Primary School, Sitapur Block 13",Uttar Pradesh,Sitapur,90,24.5,20.7,12.5,True,True,3,True,False,True
S0014,"Govt Upper Primary School, Hardoi Block 14",Uttar Pradesh,Hardoi,120,33.3,26.3,11.3,True,True,0,True,True,False
S0015,"Govt Higher Secondary School, Kushinagar Block 15",Uttar Pradesh,Kushinagar,90,28.2,28.4,14.3,False,False,3,False,False,False
S0016,"Govt Primary School, Balrampur Block 16",Uttar Pradesh,Balrampur,48,18.5,25.4,18.4,True,True,1,False,False,False
S0017,"Govt Upper Primary School, Shrawasti Block 17",Uttar Pradesh,Shrawasti,60,27.7,28.0,14.8,False,False,0,True,False,False
S0018,"Govt Higher Secondary School, Basti Block 18",Uttar Pradesh,Basti,90,29.0,25.8,14.6,True,False,2,True,False,False
S0019,"Govt Primary School, Siddharthnagar Block 19",Uttar Pradesh,Siddharthnagar,90,20.4,29.2,14.5,True,True,2,False,True,False
S0020,"Govt Upper Primary School, Azamgarh Block 20",Uttar Pradesh,Azamgarh,90,40.0,26.6,12.5,True,True,1,True,True,False
S0021,"Govt Higher Secondary School, Gorakhpur Block 21",Uttar Pradesh,Gorakhpur,35,29.0,28.5,11.9,True,False,0,False,False,False
S0022,"Govt Primary School, Bahraich Block 22",Uttar Pradesh,Bahraich,55,25.2,29.5,14.3,True,False,1,False,False,False
S0023,"Govt Upper Primary School, Sitapur Block 23",Uttar Pradesh,Sitapur,120,33.7,22.7,15.1,True,True,1,True,True,False
S0024,"Govt Higher Secondary School, Hardoi Block 24",Uttar Pradesh,Hardoi,42,34.7,18.5,15.8,True,False,0,False,True,False
S0025,"Govt Primary School, Kushinagar Block 25",Uttar Pradesh,Kushinagar,82,28.8,25.3,16.1,True,True,0,False,False,False
S0026,"Govt Upper Primary School, Balrampur Block 26",Uttar Pradesh,Balrampur,90,34.8,16.8,16.7,True,True,3,False,False,True
S0027,"Govt Higher Secondary School, Shrawasti Block 27",Uttar Pradesh,Shrawasti,35,38.3,22.8,16.4,True,True,0,True,True,False
S0028,"Govt Primary School, Basti Block 28",Uttar Pradesh,Basti,140,33.9,17.4,18.6,True,True,4,False,True,True
S0029,"Govt Upper Primary School, Siddharthnagar Block 29",Uttar Pradesh,Siddharthnagar,90,18.9,24.7,16.2,False,True,0,True,False,False
